"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
1,0.5,0.2,0.5,0.4,-0.2,1.04077857717048,0.503893968200413,0.0610286546930072,0.309901322659694,0.486626849914796,0.245044069013668,NA,NA,NA,NA,NA,NA,0.151789955791247,0.13896358142526,0.104766326400238,0.203427050800875,0.105839398044777,0.478340842386099
1,0.5,0.2,0.5,0.4,-0.2,0.822486097379992,0.418276153710803,-0.0259518147268853,0.0988709780128818,0.290687995360981,1.72355613131723,NA,NA,NA,NA,NA,NA,0.134491493590296,0.122228025475134,0.104316089133809,0.193160886395542,0.0951842259848188,1.55498081073263
1,0.5,0.2,0.5,0.4,-0.2,1.05077748733942,0.280226103870632,0.112957259829768,0.594794973504347,0.475219943054774,-0.366128498270717,NA,NA,NA,NA,NA,NA,0.140380303795039,0.115207046146055,0.111851723219403,0.234764895253837,0.0994554843809637,0.41444006122156
1,0.5,0.2,0.5,0.4,-0.2,0.967016612881394,0.466099176750028,0.231813566722741,0.33667295034591,0.512153454032159,0.180576507372912,NA,NA,NA,NA,NA,NA,0.151465275816808,0.14435287024868,0.0921880102652004,0.248403165334119,0.0866545512652796,0.616884603397192
1,0.5,0.2,0.5,0.4,-0.2,0.76467943518923,0.63627655834165,-0.00104263467362575,0.409185985228332,0.127033563155456,-0.381764070184691,NA,NA,NA,NA,NA,NA,0.144966601900854,0.132205296102692,0.147858787835052,0.236177862098092,0.10119299796766,0.418491562857938
1,0.5,0.2,0.5,0.4,-0.2,0.819081494387328,0.750937780178044,0.166652608297991,0.584684493081409,0.453255762322814,-0.358411728426371,NA,NA,NA,NA,NA,NA,0.14305359491422,0.126483573642667,0.0873451333337851,0.224779275603856,0.0961339346439693,0.418596049251308
1,0.5,0.2,0.5,0.4,-0.2,0.922854611753569,0.744878597576267,0.0868342874378308,0.486865417454152,0.422881858520005,0.0537387661140458,NA,NA,NA,NA,NA,NA,0.128181649896655,0.119087317773411,0.094647182897405,0.20642834405088,0.10461732778659,0.459469578755809
1,0.5,0.2,0.5,0.4,-0.2,0.811318348416691,0.724832374334421,0.256754391542215,0.264085779690488,0.516741307549452,0.163137602715076,NA,NA,NA,NA,NA,NA,0.158922036264419,0.140670515686339,0.103114757726975,0.229891919574766,0.0925375837374379,0.579319322363511
1,0.5,0.2,0.5,0.4,-0.2,0.850394920997649,0.690042970212313,0.231964198575386,0.144945366597932,0.405708000895405,1.44390676851171,NA,NA,NA,NA,NA,NA,0.134371063208967,0.124653029587774,0.0941931363992233,0.172144817445834,0.0917208392893239,1.03611343449738
1,0.5,0.2,0.5,0.4,-0.2,0.962453628976116,0.530670973910639,0.376271124979675,0.665340124709273,0.269687700046755,-0.486822302318023,NA,NA,NA,NA,NA,NA,0.138288848617516,0.127396835158582,0.112582269655647,0.311778114032957,0.0972646101999972,0.550833984282174
